Prompt;Number of statements;Parameters
"Input text:
Textual context: Traveling 94.0 km implies the vehicle couldn't have used less than 84.0 dm³ of fuel.
Operating for 7.0 hours means driving time couldn't surpass 7.0 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['distance', 'total fuel consumption'], ['total operation time', 'driving time']]
"Input text:
Textual context: When the vehicle used 57.4 dm³ of fuel, it couldn’t have traveled more than 67.4 km.
If axle 2 is loaded with 7947.6 kg, the payload must be less than 7947.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total fuel consumption', 'distance'], ['axle 2 load', 'payload']]
"Input text:
Textual context: If the load on axle 3 is 7276.2 kg, axle 1 must bear less than 7276.2 kg.
Given PTO operation time of 1.9, idle time of 1.9, and driving time of 2.6, the total time can't be under 6.4.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['axle 3 load', 'axle 1 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: When the total operation time was 9.0 hours, idle time couldn't have surpassed 9.0 hours.
When axle 1 carries 3439.7 kg, axle 3 needs to be loaded with more than 3439.7 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'idle time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: When the total operation time was 9.0 hours, idle time couldn't have surpassed 9.0 hours.
Given a payload of 8373.2 kg, axle 3 load must exceed 8373.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'idle time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Given that the vehicle operated for 6.7 hours, it couldn't have consumed under 62.5 dm³ of fuel.
When PTO time was 3.8 hours, the overall operation time couldn't have been under 3.8 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time']]
"Input text:
Textual context: With PTO operation time at 0.6 hours, the total time couldn't be less than 0.6 hours.
If axle 1 supports 5929.5 kg, axle 3 must bear more than 5929.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['PTO operation time', 'total operation time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: Traveling 81.2 km implies the vehicle couldn't have used less than 71.2 dm³ of fuel.
When idle time was 1.9 hours, the overall operation time couldn't have been under 1.9 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['distance', 'total fuel consumption'], ['idle time', 'total operation time']]
"Input text:
Textual context: If the load on axle 2 is 8862.4 kg, axle 1 must bear less than 8862.4 kg.
When the payload is 3329.9 kg, axle 3 needs to be loaded with more than 3329.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['axle 2 load', 'axle 1 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Given that idle time was 2.0 hours, total operation time couldn't be under 2.0 hours.
If the payload is 4102.1 kg, axle 3 must carry more than 4102.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['idle time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Driving time of 3.1 hours means the total operation time couldn't be less than 3.1 hours.
If the payload is 9850.5 kg, axle 3 must carry more than 9850.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['driving time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: With PTO operation time at 3.8 hours, the total time couldn't be less than 3.8 hours.
If the payload is 4652.9 kg, axle 3 must bear more than 4652.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['PTO operation time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: With 28 PTO-engaged stops, the minimum number of stops is 28.
With axle 1 load at 3844.6 kg, axle 3 must have more than 3844.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: When the vehicle used 60.6 dm³ of fuel, it couldn’t have traveled more than 70.6 km.
Given a payload of 8597.1 kg, axle 3 load must exceed 8597.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total fuel consumption', 'distance'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Using 32.8 dm³ of fuel means the vehicle couldn’t have operated more than 4.0 hours.
Operating for 9.5 hours means idle time couldn't exceed 9.5 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total fuel consumption', 'total operation time'], ['total operation time', 'idle time']]
"Input text:
Textual context: Given that the vehicle operated for 7.1 hours, it couldn't have consumed under 67.9 dm³ of fuel.
Given that idle time was 2.2 hours, total operation time couldn't be under 2.2 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'total fuel consumption'], ['idle time', 'total operation time']]
"Input text:
Textual context: With a total operation time of 4.9 hours, driving time couldn't exceed 4.9 hours.
Given that driving time was 4.1 hours, the total operation time couldn't be under 4.1 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'driving time'], ['driving time', 'total operation time']]
"Input text:
Textual context: If stops equal 287, PTO-engaged stops can't exceed 287.
With axle 2 supporting 10829.8 kg, axle 1 must have less than 10829.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['stops', 'stops with PTO engaged'], ['axle 2 load', 'axle 1 load']]
"Input text:
Textual context: If PTO-engaged stops are 197, then the total stops cannot be fewer than 197.
When axle 2 has 7492.4 kg, the payload needs to be under 7492.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['stops with PTO engaged', 'stops'], ['axle 2 load', 'payload']]
"Input text:
Textual context: When driving time was 4.8 hours, the overall operation time couldn't have been under 4.8 hours.
Given a payload of 1907.1 kg, axle 2 load must exceed 1907.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['driving time', 'total operation time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Idle time of 3.3 hours means the total operation time couldn't be less than 3.3 hours.
With driving time at 4.4 hours, total operation time couldn't be less than 4.4 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['idle time', 'total operation time'], ['driving time', 'total operation time']]
"Input text:
Textual context: With a total operation time of 5.4 hours, PTO operation time couldn't exceed 5.4 hours.
When axle 3 has 6595.2 kg, axle 1 load needs to be under 6595.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'PTO operation time'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: With a total operation time of 5.4 hours, the vehicle must have used at least 47.7 dm³ of fuel.
With a total operation time of 7.3 hours, driving time couldn't exceed 7.3 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'total fuel consumption'], ['total operation time', 'driving time']]
"Input text:
Textual context: If the payload is 3472.6 kg, axle 2 must carry more than 3472.6 kg.
If axle 2 is loaded with 10679.8 kg, the payload must be less than 10679.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['payload', 'axle 2 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: With idle time at 1.7 hours, the total operation time couldn't be less than 1.7 hours.
If the payload is 10614.2 kg, axle 2 must bear more than 10614.2 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['idle time', 'total operation time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: With axle 3 supporting 7260.4 kg, axle 1 must have less than 7260.4 kg.
When axle 2 has 9800.3 kg, the payload needs to be under 9800.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['axle 3 load', 'axle 1 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: Consuming 83.0 dm³ of fuel means the vehicle couldn't have traveled beyond 93.0 km.
If the payload is 9774.4 kg, axle 2 must bear more than 9774.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total fuel consumption', 'distance'], ['payload', 'axle 2 load']]
"Input text:
Textual context: When the vehicle's operation time was 3.2 hours, it definitely consumed no less than 23.2 dm³ of fuel.
Consuming 56.8 dm³ of fuel means the vehicle couldn't have traveled beyond 66.8 km.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance']]
"Input text:
Textual context: Using 43.4 dm³ of fuel means the vehicle couldn’t have operated more than 5.0 hours.
With axle 2 supporting 7316.1 kg, the payload must be less than 7316.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total fuel consumption', 'total operation time'], ['axle 2 load', 'payload']]
"Input text:
Textual context: When the vehicle consumed 74.0 dm³ of fuel, it couldn't have run for more than 7.7 hours.
With axle 1 load at 4888.8 kg, axle 3 must have more than 4888.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total fuel consumption', 'total operation time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: With a fuel consumption of 14.1 dm³, the vehicle couldn't have run beyond 2.4 hours.
If axle 3 is loaded with 4826.5 kg, axle 1 must carry less than 4826.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total fuel consumption', 'total operation time'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: When driving time was 3.3 hours, the overall operation time couldn't have been under 3.3 hours.
With 148 PTO-engaged stops, the minimum number of stops is 148.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['driving time', 'total operation time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: With a total operation time of 5.0 hours, driving time couldn't exceed 5.0 hours.
With 100 stops, it's impossible for PTO-engaged stops to be above 100.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'driving time'], ['stops', 'stops with PTO engaged']]
"Input text:
Textual context: With axle 1 load at 6573.7 kg, axle 2 load should exceed 6573.7 kg.
Given a payload of 7658.8 kg, axle 3 load must exceed 7658.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['axle 1 load', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Given that PTO-engaged stops are 161, the stops must be at least 161.
With axle 1 load at 2931.9 kg, axle 2 load should exceed 2931.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: Operating for 3.2 hours means driving time couldn't surpass 3.2 hours.
If the load on axle 2 is 8465.9 kg, the payload must be under 8465.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";2;[['total operation time', 'driving time'], ['axle 2 load', 'payload']]
"Input text:
Textual context: With a total operation time of 5.6 hours, the vehicle must have used at least 50.5 dm³ of fuel.
With a fuel consumption of 50.4 dm³, the vehicle couldn't have traveled more than 60.4 km.
If there are 59 PTO-engaged stops, total stops can't be under 59.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: Given that PTO time was 3.0 hours, the total operation time couldn't be under 3.0 hours.
With idle time at 4.6 hours, the total operation time couldn't be less than 4.6 hours.
If the load on axle 1 is 5537.8 kg, axle 2 must carry more than 5537.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: With a total operation time of 7.3 hours, PTO operation time couldn't exceed 7.3 hours.
If the vehicle's operation time was 6.3 hours, driving time couldn't be more than 6.3 hours.
If axle 3 is loaded with 6900.5 kg, axle 1 must carry less than 6900.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: Given an operation time of 2.7 hours, PTO operation time wouldn't be more than 2.7 hours.
Given a payload of 3776.4 kg, axle 3 load must exceed 3776.4 kg.
Given PTO operation time of 0.8, idle time of 0.8, and driving time of 1.1, the total time can't be under 2.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'PTO operation time'], ['payload', 'axle 3 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Given that PTO-engaged stops are 136, the stops must be at least 136.
If the payload is 9533.4 kg, axle 2 must bear more than 9533.4 kg.
When axle 3 has 5822.8 kg, the payload needs to be under 5822.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['stops with PTO engaged', 'stops'], ['payload', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: If the vehicle ran for 2.0 hours, it is not possible it consumed below 10.0 dm³ of fuel.
When the total operation time was 4.6 hours, PTO time couldn't have exceeded 4.6 hours.
If the load on axle 3 is 4963.6 kg, axle 1 must bear less than 4963.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'total fuel consumption'], ['total operation time', 'PTO operation time'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: If the vehicle operated for 3.0 hours, PTO time couldn't have been greater than 3.0 hours.
When the total operation time was 3.1 hours, idle time couldn't have surpassed 3.1 hours.
If the load on axle 1 is 7322.9 kg, axle 2 must carry more than 7322.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: When the vehicle consumed 50.0 dm³ of fuel, it couldn't have run for more than 5.6 hours.
Traveling 106.9 km implies the vehicle couldn't have used less than 96.9 dm³ of fuel.
Given axle 2 load is 7088.1 kg, the payload must be below 7088.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['axle 2 load', 'payload']]
"Input text:
Textual context: When the total operation time was 6.4 hours, idle time couldn't have surpassed 6.4 hours.
If the load on axle 1 is 4064.1 kg, axle 2 must carry more than 4064.1 kg.
When the payload is 4196.4 kg, axle 3 needs to be loaded with more than 4196.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'idle time'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the total operation time was 3.5 hours, driving time couldn't have exceeded 3.5 hours.
When PTO-engaged stops are 45, total stops cannot be below 45.
Given PTO operation time of 2.4, idle time of 2.4, and driving time of 3.2, the total time can't be under 8.0.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Operating for 6.5 hours means PTO time couldn't have surpassed 6.5 hours.
Given axle 1 load is 4612.5 kg, axle 3 load must exceed 4612.5 kg.
If the payload is 5294.9 kg, axle 3 must carry more than 5294.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'PTO operation time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: When the vehicle used 10.1 dm³ of fuel, it couldn’t have traveled more than 20.1 km.
With a total operation time of 7.7 hours, idle time couldn't surpass 7.7 hours.
If the load on axle 2 is 11149.9 kg, the payload must be under 11149.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'distance'], ['total operation time', 'idle time'], ['axle 2 load', 'payload']]
"Input text:
Textual context: If axle 2 is loaded with 10505.8 kg, the payload must be less than 10505.8 kg.
With a payload of 1631.8 kg, axle 3 must have more than 1631.8 kg.
If axle 3 is loaded with 6510.9 kg, the payload must be less than 6510.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['axle 2 load', 'payload'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: With a total operation time of 7.1 hours, driving time couldn't exceed 7.1 hours.
If axle 1 supports 2201.5 kg, axle 3 must bear more than 2201.5 kg.
If the payload is 5934.9 kg, axle 3 must carry more than 5934.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'driving time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: If there are 89 PTO-engaged stops, total stops can't be under 89.
With axle 3 supporting 5330.8 kg, axle 1 must have less than 5330.8 kg.
When axle 3 has 6924.9 kg, the payload needs to be under 6924.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['stops with PTO engaged', 'stops'], ['axle 3 load', 'axle 1 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Given a fuel consumption of 96.2 dm³, the vehicle wouldn't have functioned for longer than 9.7 hours.
When the total operation time was 9.5 hours, PTO time couldn't have exceeded 9.5 hours.
PTO operation of 1.6 hours means the total time couldn't be less than 1.6 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'total operation time'], ['total operation time', 'PTO operation time'], ['PTO operation time', 'total operation time']]
"Input text:
Textual context: Covering a distance of 20.6 km means the vehicle couldn't have consumed under 10.6 dm³ of fuel.
Given that idle time was 1.6 hours, total operation time couldn't be under 1.6 hours.
If the payload is 6155.3 kg, axle 2 must bear more than 6155.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: With PTO operation time at 4.5 hours, the total time couldn't be less than 4.5 hours.
If idle time was 3.4 hours, the vehicle's total operation time wouldn't be below 3.4 hours.
If the load on axle 3 is 6536.4 kg, axle 1 must bear less than 6536.4 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: Given a fuel consumption of 22.3 dm³, the vehicle wouldn't have functioned for longer than 3.1 hours.
Idle time of 3.6 hours means the total operation time couldn't be less than 3.6 hours.
With axle 3 supporting 6117.6 kg, the payload must be less than 6117.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'total operation time'], ['idle time', 'total operation time'], ['axle 3 load', 'payload']]
"Input text:
Textual context: When the total operation time was 3.4 hours, PTO time couldn't have exceeded 3.4 hours.
When axle 1 has 7186.3 kg load, axle 2 must be loaded with more than 7186.3 kg.
If PTO operation is 1.6, idle time is 1.6, and driving time is 2.1, then the overall time can't be less than 5.2.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'PTO operation time'], ['axle 1 load', 'axle 2 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: With a total operation time of 6.0 hours, the vehicle must have used at least 55.5 dm³ of fuel.
Using 66.2 dm³ of fuel means the vehicle couldn’t have operated more than 7.0 hours.
If axle 2 is loaded with 7048.5 kg, axle 1 must carry less than 7048.5 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'total operation time'], ['axle 2 load', 'axle 1 load']]
"Input text:
Textual context: With a distance of 41.8 km traveled, it is not feasible the vehicle consumed below 31.8 dm³ of fuel.
If axle 3 is loaded with 4590.6 kg, axle 1 must carry less than 4590.6 kg.
If the payload is 652.1 kg, axle 2 must carry more than 652.1 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Using 75.7 dm³ of fuel means the vehicle couldn’t have operated more than 7.8 hours.
When the payload is 7382.7 kg, axle 3 needs to be loaded with more than 7382.7 kg.
Given axle 3 load is 6049.6 kg, the payload must be below 6049.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'total operation time'], ['payload', 'axle 3 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Covering a distance of 50.7 km means the vehicle couldn't have consumed under 40.7 dm³ of fuel.
With idle time at 2.5 hours, the total operation time couldn't be less than 2.5 hours.
With PTO time at 2.3, idle time at 2.3, and driving time at 3.1, total operation time can't be below 7.7.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Traveling 21.4 km implies the vehicle couldn't have used less than 11.4 dm³ of fuel.
Operating for 5.5 hours means idle time couldn't exceed 5.5 hours.
When the total operation time was 5.8 hours, driving time couldn't have exceeded 5.8 hours.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['total operation time', 'idle time'], ['total operation time', 'driving time']]
"Input text:
Textual context: Given an operation time of 8.5 hours, driving time wouldn't be more than 8.5 hours.
If there are 239 PTO-engaged stops, total stops can't be under 239.
If the payload is 10239.3 kg, axle 2 must bear more than 10239.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['payload', 'axle 2 load']]
"Input text:
Textual context: When idle time was 1.6 hours, the overall operation time couldn't have been under 1.6 hours.
Given axle 2 load is 8995.4 kg, axle 1 load must be below 8995.4 kg.
When axle 1 carries 3305.8 kg, axle 3 needs to be loaded with more than 3305.8 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['idle time', 'total operation time'], ['axle 2 load', 'axle 1 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: With a total operation time of 4.6 hours, PTO operation time couldn't exceed 4.6 hours.
Given 109 stops, PTO-engaged stops cannot be more than 109.
If the load on axle 3 is 7051.9 kg, axle 1 must bear less than 7051.9 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total operation time', 'PTO operation time'], ['stops', 'stops with PTO engaged'], ['axle 3 load', 'axle 1 load']]
"Input text:
Textual context: With driving time at 2.0 hours, total operation time couldn't be less than 2.0 hours.
With axle 1 load at 2934.6 kg, axle 2 load should exceed 2934.6 kg.
If PTO operation is 0.6, idle time is 0.6, and driving time is 0.8, then the overall time can't be less than 2.0.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['driving time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Covering a distance of 22.4 km means the vehicle couldn't have consumed under 12.4 dm³ of fuel.
When the payload is 1200.8 kg, axle 2 needs to be loaded with more than 1200.8 kg.
Given a payload of 5845.3 kg, axle 3 load must exceed 5845.3 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['distance', 'total fuel consumption'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Given that driving time was 1.9 hours, the total operation time couldn't be under 1.9 hours.
If axle 3 is loaded with 4651.1 kg, axle 1 must carry less than 4651.1 kg.
Given a payload of 4562.6 kg, axle 2 load must exceed 4562.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['driving time', 'total operation time'], ['axle 3 load', 'axle 1 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Given a fuel consumption of 68.8 dm³, the vehicle wouldn't have functioned for longer than 7.2 hours.
When the payload is 5301.0 kg, axle 2 needs to be loaded with more than 5301.0 kg.
With a payload of 7141.6 kg, axle 3 must have more than 7141.6 kg.
To identify the day as abnormal, it is enough that even one or more conditions are violated.";3;[['total fuel consumption', 'total operation time'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
