Prompt;Number of conditions;Parameters
"Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 3.
Payload must remain below or equal to the load carried by axle 3.
";2;[['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
Payload must remain below or equal to the load carried by axle 3.
";2;[['idle time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The load on axle 1 must not surpass the load on axle 2.
";2;[['distance', 'total fuel consumption'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: Driving time must always be less than or equal to the total operation time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";2;[['driving time', 'total operation time'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
The number of stops where PTO is engaged must not exceed the overall stop count.
";2;[['total operation time', 'PTO operation time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
";2;[['total operation time', 'idle time'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
The total operation duration must not be lower than the idle time.
";2;[['total operation time', 'total fuel consumption'], ['total operation time', 'idle time']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
";2;[['distance', 'total fuel consumption'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: Driving time should be less than or equal to the total operation time.
The payload must not exceed the load carried by axle 3.
";2;[['driving time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
Axle 2's load must always be equal to or greater than the payload.
";2;[['total operation time', 'PTO operation time'], ['axle 2 load', 'payload']]
"Input text:
Textual context: The payload cannot exceed the capacity of axle 3.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";2;[['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: Idle time should be less than or equal to the total operation time.
The load on axle 1 must not surpass the load on axle 2.
";2;[['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: The total stop count must not be lower than the count of stops where PTO is engaged.
The weight on axle 1 cannot surpass the weight on axle 2.
";2;[['stops', 'stops with PTO engaged'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: Driving time should be less than or equal to the total operation time.
The weight on axle 1 cannot surpass the weight on axle 2.
";2;[['driving time', 'total operation time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
Stops with PTO engaged cannot outnumber the total stops.
";2;[['total operation time', 'total fuel consumption'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
The payload must always be smaller than or equal to the load on axle 2.
";2;[['total operation time', 'total fuel consumption'], ['payload', 'axle 2 load']]
"Input text:
Textual context: PTO operation time must be less than or equal to the total operation time.
Idle time should be less than or equal to the total operation time.
";2;[['PTO operation time', 'total operation time'], ['idle time', 'total operation time']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
PTO operation time must be less than or equal to the total operation time.
";2;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time']]
"Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
Driving time should be less than or equal to the total operation time.
";2;[['total operation time', 'PTO operation time'], ['driving time', 'total operation time']]
"Input text:
Textual context: Driving time should be less than or equal to the total operation time.
The payload must always be smaller than or equal to the load on axle 2.
";2;[['driving time', 'total operation time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
Driving time must always be less than or equal to the total operation time.
";2;[['total operation time', 'total fuel consumption'], ['driving time', 'total operation time']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
Axle 3's load must always be equal to or greater than the payload.
";2;[['total operation time', 'total fuel consumption'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
Stops with PTO engaged cannot outnumber the total stops.
";2;[['total operation time', 'idle time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: PTO-engaged stops cannot exceed the total number of stops.
Payload must remain below or equal to the load carried by axle 2.
";2;[['stops with PTO engaged', 'stops'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
Payload must remain below or equal to the load carried by axle 2.
";2;[['idle time', 'total operation time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The load carried by axle 1 must be smaller than or equal to the load on axle 2.
The payload cannot exceed the capacity of axle 2.
";2;[['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
Idle time should be less than or equal to the total operation time.
The weight on axle 1 cannot surpass the weight on axle 3.
";3;[['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Total operation time should shouldn’t be lower than driving time.
";3;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'driving time']]
"Input text:
Textual context: Idle time should be less than or equal to the total operation time.
Total operation time should shouldn’t be lower than driving time.
The load on axle 1 must not surpass the load on axle 2.
";3;[['idle time', 'total operation time'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: The load supported by axle 1 cannot exceed that of axle 2.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
The payload cannot exceed the capacity of axle 3.
";3;[['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
The total operation durationmust not be lower than the driving time.
Axle 2's load must always be equal to or greater than the payload.
";3;[['total operation time', 'total fuel consumption'], ['total operation time', 'driving time'], ['axle 2 load', 'payload']]
"Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
Driving time should be less than or equal to the total operation time.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
";3;[['distance', 'total fuel consumption'], ['driving time', 'total operation time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: When the vehicle has traveled a minimum of 20 km, the lowest average hourly fuel consumption is 5 dm³/h.
The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Total operation time shouldn’t be lower than PTO operation time.
";3;[['total operation time', 'total fuel consumption'], ['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time']]
"Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
Driving time must always be less than or equal to the total operation time.
Stops with PTO engaged should never outnumber total stops.
";3;[['PTO operation time', 'total operation time'], ['driving time', 'total operation time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: The total operation duration must not be lower than the idle time.
The number of stops where PTO is engaged must not exceed the overall stop count.
Payload must remain below or equal to the load carried by axle 3.
";3;[['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
The load on axle 1 must not surpass the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.
";3;[['idle time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
The load supported by axle 1 cannot exceed that of axle 2.
Axle 2's load must always be equal to or greater than the payload.
";3;[['distance', 'total fuel consumption'], ['axle 1 load', 'axle 2 load'], ['axle 2 load', 'payload']]
"Input text:
Textual context: For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
PTO operation time cannot be greater than the total operation time.
The weight on axle 1 cannot surpass the weight on axle 3.
";3;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: Total operation time shouldn’t be lower than idle time.
Driving time should be less than or equal to the total operation time.
Axle 2's load must always be equal to or greater than the payload.
";3;[['total operation time', 'idle time'], ['driving time', 'total operation time'], ['axle 2 load', 'payload']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
Idle time cannot be greater than the total operation time.
Payload must remain below or equal to the load carried by axle 3.
";3;[['total operation time', 'total fuel consumption'], ['idle time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: The total operation durationmust not be lower than the driving time.
Stops with PTO engaged should never outnumber total stops.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";3;[['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The weight on axle 1 cannot surpass the weight on axle 2.
Axle 1's load cannot exceed Axle 3's load.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";3;[['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
";3;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.
";3;[['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The payload cannot exceed the capacity of axle 3.
";3;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['payload', 'axle 3 load']]
"Input text:
Textual context: PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
The payload must always be smaller than or equal to the load on axle 2.
";3;[['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
Stops with PTO engaged cannot outnumber the total stops.
Axle 2's load must always be equal to or greater than the payload.
";3;[['total fuel consumption', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 2 load', 'payload']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
Total operation time shouldn’t be lower than idle time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";3;[['total operation time', 'total fuel consumption'], ['total operation time', 'idle time'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Stops with PTO engaged should never outnumber total stops.
The load on axle 1 must not surpass the load on axle 2.
";3;[['total fuel consumption', 'distance'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: When the vehicle travels 20 km or more, the average fuel consumption per distance is at least 40 dm³/100 km.
The total operation durationmust not be lower than the driving time.
The weight on axle 1 cannot surpass the weight on axle 2.
";3;[['distance', 'total fuel consumption'], ['total operation time', 'driving time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: When the vehicle travels 20 km or more, the average fuel consumption per distance is at least 40 dm³/100 km.
Idle time cannot be greater than the total operation time.
The payload must always be smaller than or equal to the load on axle 3.
";3;[['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
The number of stops where PTO is engaged must not exceed the overall stop count.
Axle 1's load cannot exceed Axle 2's load.
";3;[['PTO operation time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: If the distance covered by the vehicle is at least 20 km, the minimum average fuel consumption rate per hour is 5 dm³/h.
Idle time cannot be greater than the total operation time.
PTO-engaged stops cannot exceed the total number of stops.
";3;[['total operation time', 'total fuel consumption'], ['idle time', 'total operation time'], ['stops with PTO engaged', 'stops']]
"Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
Idle time should be less than or equal to the total operation time.
The total stop count must not be lower than the count of stops where PTO is engaged.
";3;[['total operation time', 'PTO operation time'], ['idle time', 'total operation time'], ['stops', 'stops with PTO engaged']]
"Input text:
Textual context: Idle time cannot be greater than the total operation time.
PTO-engaged stops cannot exceed the total number of stops.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";3;[['idle time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
The total operation duration must not be lower than the idle time.
Driving time should be less than or equal to the total operation time.
";3;[['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['driving time', 'total operation time']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
The weight on axle 1 cannot surpass the weight on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.
";3;[['total operation time', 'total fuel consumption'], ['axle 1 load', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 3.
Payload must remain below or equal to the load carried by axle 3.
";3;[['idle time', 'total operation time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
Total operation time shouldn’t be lower than PTO operation time.
The weight on axle 1 cannot surpass the weight on axle 2.
";3;[['total fuel consumption', 'distance'], ['total operation time', 'PTO operation time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
The payload must always be smaller than or equal to the load on axle 2.
The total operation duration must always be greater than or equal to the combined time for PTO, idle, and driving.
";3;[['distance', 'total fuel consumption'], ['payload', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The vehicle's minimum average fuel consumption per 100 km, if it travels 20 km or more, is 40 dm³/100 km.
PTO operation time must be less than or equal to the total operation time.
The payload must not exceed the load carried by axle 3.
";3;[['total fuel consumption', 'distance'], ['PTO operation time', 'total operation time'], ['payload', 'axle 3 load']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
PTO operation time cannot be greater than the total operation time.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";3;[['distance', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: For a journey of at least 20 km, the vehicle's lowest average fuel consumption per hour is 5 dm³/h.
If the vehicle covers at least 20 km, the average fuel consumption per distance cannot be lower than 40 dm³/100 km.
The load supported by axle 1 cannot exceed that of axle 2.
";3;[['total operation time', 'total fuel consumption'], ['distance', 'total fuel consumption'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: The total operation duration must not be lower than the idle time.
Stops with PTO engaged should never outnumber total stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
";3;[['total operation time', 'idle time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: Total operation time should shouldn’t be lower than driving time.
The number of stops where PTO is engaged must not exceed the overall stop count.
Axle 1's load cannot exceed Axle 2's load.
";3;[['total operation time', 'driving time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
The load supported by axle 1 cannot exceed that of axle 2.
Axle 3's load must always be equal to or greater than the payload.
";3;[['total operation time', 'PTO operation time'], ['axle 1 load', 'axle 2 load'], ['axle 3 load', 'payload']]
"Input text:
Textual context: The minimum average fuel consumption per distance, given that the vehicle has traveled at least 20 km, is 40 dm³/100 km.
The total operation durationmust not be lower than the driving time.
Payload must remain below or equal to the load carried by axle 2.
";3;[['distance', 'total fuel consumption'], ['total operation time', 'driving time'], ['payload', 'axle 2 load']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
PTO operation time should be less than or equal to the total operation time.
Axle 3's load must always be equal to or greater than the payload.
";3;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['axle 3 load', 'payload']]
"Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
PTO-engaged stops cannot exceed the total number of stops.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";3;[['total operation time', 'PTO operation time'], ['stops with PTO engaged', 'stops'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: Driving time must always be less than or equal to the total operation time.
The number of stops where PTO is engaged must not exceed the overall stop count.
The load on axle 1 must not surpass the load on axle 3.
";3;[['driving time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load']]
"Input text:
Textual context: The total operation duration must not be lower than the idle time.
Payload must remain below or equal to the load carried by axle 2.
The payload must not exceed the load carried by axle 3.
";3;[['total operation time', 'idle time'], ['payload', 'axle 2 load'], ['payload', 'axle 3 load']]
"Input text:
Textual context: Idle time must always be less than or equal to the total operation time.
PTO-engaged stops cannot exceed the total number of stops.
The payload cannot exceed the capacity of axle 2.
";3;[['idle time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
The load on axle 1 must not surpass the load on axle 2.
Total operation time must be greater than or equal to the sum of PTO operation, idle, and driving times.
";3;[['total fuel consumption', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: The number of stops where PTO is engaged must not exceed the overall stop count.
Payload must remain below or equal to the load carried by axle 2.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";3;[['stops with PTO engaged', 'stops'], ['payload', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: PTO operation time cannot be greater than the total operation time.
Idle time should be less than or equal to the total operation time.
The combined time for PTO operation, idle time, and driving time must not surpass the total operation time.
";3;[['PTO operation time', 'total operation time'], ['idle time', 'total operation time'], ['PTO operation time', 'idle time', 'driving time', 'total operation time']]
"Input text:
Textual context: Axle 1's load cannot exceed Axle 2's load.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Payload must remain below or equal to the load carried by axle 2.
";3;[['axle 1 load', 'axle 2 load'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: Total operation time shouldn’t be lower than PTO operation time.
Total operation time should shouldn’t be lower than driving time.
The total stop count must not be lower than the count of stops where PTO is engaged.
The payload must always be smaller than or equal to the load on axle 2.
";4;[['total operation time', 'PTO operation time'], ['total operation time', 'driving time'], ['stops', 'stops with PTO engaged'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
When the vehicle travels 20 km or more, the average fuel consumption per distance is at least 40 dm³/100 km.
Idle time must always be less than or equal to the total operation time.
The load supported by axle 1 cannot exceed that of axle 2.
";4;[['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['idle time', 'total operation time'], ['axle 1 load', 'axle 2 load']]
"Input text:
Textual context: If the vehicle covers a distance of no less than 20 km, its hourly fuel consumption cannot drop below 5 dm³/h.
PTO operation time cannot be greater than the total operation time.
The load carried by axle 1 must be smaller than or equal to the load on axle 2.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";4;[['total operation time', 'total fuel consumption'], ['PTO operation time', 'total operation time'], ['axle 1 load', 'axle 2 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
"Input text:
Textual context: PTO operation time should be less than or equal to the total operation time.
Stops with PTO engaged cannot outnumber the total stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Payload must remain below or equal to the load carried by axle 2.
";4;[['PTO operation time', 'total operation time'], ['stops with PTO engaged', 'stops'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The total operation duration must not be lower than the PTO operation time.
Total operation time shouldn’t be lower than idle time.
Axle 1's load cannot exceed Axle 3's load.
The payload must always be smaller than or equal to the load on axle 2.
";4;[['total operation time', 'PTO operation time'], ['total operation time', 'idle time'], ['axle 1 load', 'axle 3 load'], ['payload', 'axle 2 load']]
"Input text:
Textual context: The vehicle’s average hourly fuel consumption cannot be less than 5 dm³/h, provided that it traveled at least 20 km.
For trips of at least 20 km, the minimum fuel consumption rate per 100 km is 40 dm³/100 km.
The payload cannot exceed the capacity of axle 3.
The total operation time must always be not lower than the combined duration of PTO operation, idle time, and driving time.
";4;[['total fuel consumption', 'total operation time'], ['distance', 'total fuel consumption'], ['payload', 'axle 3 load'], ['total operation time', 'PTO operation time', 'idle time', 'driving time']]
